sampler,problem,n_trials,hv,mean_value,std_value,total_duration,mean_trial_duration,hv_norm,rank
random,zcat11,50,0.2124454179328964,0.1132739037610233,0.0720585086071514,5365.445474,107.308909,0.27300858123950267,5.0
random,zcat12,50,0.1902320973603519,0.1118844181198609,0.0685826098764245,4965.666596,99.313331,0.0,7.0
random,zcat13,50,0.2495211454595428,0.1440054717090932,0.0913928013240526,5175.588983,103.511779,0.836392645928353,3.0
random,zcat14,50,0.1351720292058151,0.0747275224808023,0.0499900339349999,5977.469978,119.549399,0.62106776489607,4.0
random,zcat15,50,0.1967712705104882,0.1093820109863218,0.0779224673611323,4577.113572,91.542271,0.2037194255689031,4.0
random,zcat16,50,0.1352363564462045,0.0826288432871799,0.0486886342050624,4717.96677,94.359335,0.705877790614568,2.0
random,zcat17,50,0.8933172600421025,0.6989200200536594,0.2519014089018556,4785.466043,95.70932,1.0,1.0
random,zcat18,50,0.1432448730343434,0.0729617624434315,0.0530558117574988,5691.825457,113.836509,0.9775239708957283,2.0
random,zcat19,50,0.2609402280066906,0.1348044194367499,0.105590290420551,6450.253032,129.00506,0.29180203841777025,5.0
random,zcat2,50,0.6211088081883521,0.3816273254194051,0.2547168666297085,5103.650626,102.073012,0.3766419932630152,4.0
random,zcat20,50,0.1447248779110443,0.074801897652386,0.0519723096133374,6158.012053,123.160241,1.0,1.0
random,zcat3,50,0.2518130743032913,0.1151599125272071,0.0941895779236824,5364.903324,107.298066,0.33676876377948284,5.0
random,zcat4,50,0.252555099366737,0.1515229111555132,0.0918750576023357,4671.87874,93.437574,0.3891190163378066,4.0
random,zcat5,50,0.8906149285819569,0.7547300225252236,0.1523727206505477,5918.250253,118.365005,0.8151134610895943,4.0
random,zcat6,50,0.603466026337091,0.4047059145740713,0.2368067429213959,6034.309932,120.686198,0.0,7.0
random,zcat7,50,0.1407723689645059,0.0799840688496913,0.0532335578873169,5898.432497,117.968649,0.0,7.0
random,zcat8,50,0.1223602130557395,0.0563631991408024,0.0483823423995348,5157.93048,103.158609,0.5086026048981079,4.0
random,zcat9,50,0.1187904208463924,0.0686547934161732,0.0459562393515459,4335.196404,86.703928,0.0,7.0
tpe,zcat1,50,0.2549132082389297,0.1880519533147642,0.08566312385869,6988.353146,139.767062,0.6779011353308158,2.0
tpe,zcat10,50,0.113322540211314,0.0794403204799764,0.0412777110388965,3701.644843,74.032896,1.0,1.0
tpe,zcat11,50,0.2151733633161062,0.1595091664482316,0.0705539760630464,3899.46911,77.989382,0.7371892063746488,2.0
tpe,zcat12,50,0.2012138694040035,0.1553638931264738,0.0567477796921048,3899.442396,77.988847,1.0,1.0
tpe,zcat13,50,0.2480123057302311,0.1467661065497603,0.086928668345955,6443.753283,128.875065,0.7543775882033968,6.0
tpe,zcat14,50,0.1364876626365153,0.1022620742964353,0.0442649914162142,9682.124181,193.642483,1.0,1.0
tpe,zcat15,50,0.1992966994231709,0.1293911429902625,0.0758831178817251,3051.79812,61.035962,0.6587422459643699,3.0
tpe,zcat16,50,0.1336681023274023,0.0826009262702452,0.054235006853577,5139.447148,102.788942,0.4657924169086914,4.0
tpe,zcat17,50,0.8915591946443838,0.7811281499886984,0.167617213029976,4165.944946,83.318898,0.7064691196614552,3.0
tpe,zcat18,50,0.1438903482147208,0.094252228692581,0.0527455747127386,2161.311387,43.226227,1.0,1.0
tpe,zcat19,50,0.2606474099493062,0.1933471088492734,0.0873281313042637,2710.911444,54.218228,0.2081506459718068,6.0
tpe,zcat2,50,0.6238263938892293,0.5266411611118179,0.1624374383359725,3473.515544,69.47031,1.0,1.0
tpe,zcat20,50,0.1442269791229324,0.0834761236831424,0.0531664139811146,3128.579037,62.57158,0.9485544477825909,2.0
tpe,zcat3,50,0.2581080590816376,0.1728095470393839,0.0963587284141752,7678.99679,153.579935,1.0,1.0
tpe,zcat4,50,0.2553552625909017,0.1654259009979196,0.0933178833028901,7761.180661,155.223613,0.627355169844217,2.0
tpe,zcat5,50,0.8931173820852236,0.769740375494626,0.2001853756210943,4185.649165,83.712983,0.9731043102657276,2.0
tpe,zcat6,50,0.6070604658130324,0.4492857741448356,0.2076280447208469,3552.152926,71.043058,1.0,1.0
tpe,zcat7,50,0.1443838442461937,0.0906902340255889,0.0506591991965319,5093.936658,101.878733,0.8878565861866577,2.0
tpe,zcat8,50,0.1232238819777902,0.0916274414502263,0.0431244815565687,9853.537604,197.070752,0.8687087927699857,2.0
tpe,zcat9,50,0.1209866843746105,0.0842745744322156,0.0446659292824955,5843.574306,116.871486,0.5142987838340933,5.0
