sampler,problem,n_trials,best_value,mean_value,std_value,total_duration,mean_trial_duration
random,zcat20,50,0.14472487791104435,0.07480189765238605,0.051972309613337486,6158.012053,123.160241
random,zcat3,50,0.2518130743032913,0.1151599125272071,0.09418957792368245,5364.903324,107.298066
random,zcat4,50,0.252555099366737,0.15152291115551325,0.0918750576023357,4671.87874,93.437574
random,zcat5,50,0.8906149285819569,0.7547300225252236,0.1523727206505477,5918.250253,118.365005
random,zcat6,50,0.603466026337091,0.4047059145740713,0.23680674292139595,6034.309932,120.686198
random,zcat7,50,0.14077236896450598,0.07998406884969132,0.053233557887316985,5898.432497,117.968649
random,zcat8,50,0.12236021305573952,0.056363199140802435,0.04838234239953486,5157.93048,103.158609
random,zcat9,50,0.11879042084639246,0.06865479341617327,0.04595623935154595,4335.196404,86.703928
tpe,zcat1,50,0.25491320823892977,0.18805195331476426,0.08566312385869009,6988.353146,139.767062
tpe,zcat10,50,0.11332254021131404,0.07944032047997647,0.04127771103889653,3701.644843,74.032896
tpe,zcat11,50,0.21517336331610623,0.15950916644823165,0.07055397606304642,3899.46911,77.989382
tpe,zcat12,50,0.20121386940400351,0.15536389312647386,0.05674777969210489,3899.442396,77.988847
tpe,zcat13,50,0.24801230573023117,0.1467661065497603,0.08692866834595507,6443.753283,128.875065
tpe,zcat14,50,0.13648766263651532,0.10226207429643536,0.04426499141621426,9682.124181,193.642483
tpe,zcat15,50,0.19929669942317094,0.1293911429902625,0.07588311788172514,3051.79812,61.035962
tpe,zcat16,50,0.13366810232740237,0.08260092627024523,0.054235006853577,5139.447148,102.788942
tpe,zcat17,50,0.8915591946443838,0.7811281499886984,0.167617213029976,4165.944946,83.318898
tpe,zcat18,50,0.14389034821472083,0.09425222869258101,0.05274557471273869,2161.311387,43.226227
tpe,zcat19,50,0.2606474099493062,0.19334710884927347,0.08732813130426371,2710.911444,54.218228
tpe,zcat2,50,0.6238263938892293,0.5266411611118179,0.16243743833597254,3473.515544,69.47031
tpe,zcat20,50,0.1442269791229324,0.08347612368314243,0.05316641398111465,3128.579037,62.57158
tpe,zcat3,50,0.25810805908163764,0.17280954703938392,0.09635872841417525,7678.99679,153.579935
tpe,zcat4,50,0.25535526259090174,0.16542590099791968,0.09331788330289012,7761.180661,155.223613
tpe,zcat5,50,0.8931173820852236,0.769740375494626,0.2001853756210943,4185.649165,83.712983
tpe,zcat6,50,0.6070604658130324,0.4492857741448356,0.2076280447208469,3552.152926,71.043058
tpe,zcat7,50,0.14438384424619374,0.0906902340255889,0.05065919919653197,5093.936658,101.878733
tpe,zcat8,50,0.12322388197779029,0.09162744145022639,0.043124481556568735,9853.537604,197.070752
tpe,zcat9,50,0.12098668437461058,0.08427457443221563,0.04466592928249551,5843.574306,116.871486
